Mitigation,Response,mean,lcl,ucl
Control,BPUE,0.437001728629612,0.216129136353026,0.709550807673913
LEB,BPUE,0.3588972632184,0.0623518640870641,0.779764498758858
Kite,BPUE,0.298661038540129,0.0976319115036744,0.557166813990551
Control,CPUE,108.495641529908,82.4678875205195,138.479348291672
LEB,CPUE,137.283367073281,99.0642144807981,182.639019400527
Kite,CPUE,63.6627529399205,49.3437936182768,79.5957631300789
Control,CORM_PUE,0.246066246909654,0.103084947591429,0.414897434817871
LEB,CORM_PUE,0.359520360884422,0.0625521490266506,0.79792006499956
Kite,CORM_PUE,0.111492366439559,0.0138935770235044,0.23600470820093
Control,GUIL_PUE,0.147548401251041,0.0370276782060564,0.281231836504946
LEB,GUIL_PUE,0,0,0
Kite,GUIL_PUE,0.185851006689989,0.0287621277369722,0.416819157897482
Control,GANN_PUE,0.0454887154788886,0,0.136193758918828
LEB,GANN_PUE,0,0,0
Kite,GANN_PUE,0,0,0
