PhaseNum,Treatment,after,before,reduction
1,Control,3.16621169777736,1.82978385969555,-73.0374700268794
1,Treatment,2.16556161985091,1.46393556209306,-47.9273866914402
2,Control,0.53925446297373,1.50105053066294,64.0748627739023
2,Treatment,-0.461395614952714,1.13520223306046,140.644354064457
