Phase,Control,Treatment,reduction
Phase1,2.0229018862827,1.52001550198456,24.8596527448127
Phase2,1.42475569094841,1.09656656863043,23.0347647953257
PostPhase1,1.83995173739775,1.00489740712417,45.3845779376042
PostPhase2,1.24180554206346,0.581448473770037,53.1771719424068
PrePhase1,0.947474827262401,1.00233370105235,-5.79000857980118
