Response,byc,lcl,ucl,base,base.lcl,base.ucl,rel.mean,rel.lcl,rel.ucl
Guillemots,0,0,0,22.9863226300781,9.70477428232465,39.3795373169317,-100,-100,-100
Cormorants and shags,1.3861785605719,0,3.52795202499605,43.6863513263479,20.8714370788904,72.8794729910887,-96.8269756606204,-100,-95.1591965745589
All birds,1.38679972895112,0,3.52795202499605,71.0954544137861,40.9487904246643,107.880953144636,-98.0493834094094,-100,-96.7297730302159
